species_a,species_b,timetree_taxon_id_a,timetree_taxon_id_b,timetree_query_a,timetree_query_b,timetree_name_a,timetree_name_b,timetree_mya,timetree_ci_low,timetree_ci_high,timetree_study_count,timetree_source,timetree_error
Meerkat (Suricata suricatta),Putty-nosed monkey (Cercopithecus nictitans),37032,36228,Suricata suricatta,Cercopithecus nictitans,Suricata suricatta,Cercopithecus nictitans,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Red-tailed monkey (Cercopithecus ascanius),37032,36223,Suricata suricatta,Cercopithecus ascanius,Suricata suricatta,Cercopithecus ascanius,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),De Brazza’s monkey (Cercopithecus neglectus),37032,36227,Suricata suricatta,Cercopithecus neglectus,Suricata suricatta,Cercopithecus neglectus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),L’Hoest’s monkey (Allochrocebus lhoesti),37032,100224,Suricata suricatta,Allochrocebus lhoesti,Suricata suricatta,Allochrocebus lhoesti,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Patas monkey (Erythrocebus patas),37032,9538,Suricata suricatta,Erythrocebus patas,Suricata suricatta,Erythrocebus patas,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Talapoin monkey (Miopithecus talapoin),37032,36231,Suricata suricatta,Miopithecus talapoin,Suricata suricatta,Miopithecus talapoin,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Gelada (Theropithecus gelada),37032,9565,Suricata suricatta,Theropithecus gelada,Suricata suricatta,Theropithecus gelada,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Crowned monkey / Crowned guenon (Cercopithecus pogonias),37032,102108,Suricata suricatta,Cercopithecus pogonias,Suricata suricatta,Cercopithecus pogonias,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Mona monkey (Cercopithecus mona),37032,36226,Suricata suricatta,Cercopithecus mona,Suricata suricatta,Cercopithecus mona,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Chacma baboon (Papio ursinus),37032,36229,Suricata suricatta,Papio ursinus,Suricata suricatta,Papio ursinus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Zebra finch (Taeniopygia guttata),37032,59729,Suricata suricatta,Taeniopygia guttata,Suricata suricatta,Taeniopygia guttata,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Spotted hyena (Crocuta crocuta),Poison dart frogs (Dendrobatidae; various genera),9678,43469,Crocuta crocuta,Dendrobatidae,Crocuta crocuta,Dendrobatidae,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Spotted hyena (Crocuta crocuta),Green tree frog (Hyla cinerea),9678,8422,Crocuta crocuta,Hyla cinerea,Crocuta crocuta,Dryophytes cinereus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Spotted hyena (Crocuta crocuta),Túngara frog (Engystomops pustulosus),9678,76066,Crocuta crocuta,Engystomops pustulosus,Crocuta crocuta,Engystomops pustulosus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Spotted hyena (Crocuta crocuta),American bullfrog (Lithobates catesbeianus),9678,8400,Crocuta crocuta,Lithobates catesbeianus,Crocuta crocuta,Aquarana catesbeiana,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Spotted hyena (Crocuta crocuta),African savanna elephant (Loxodonta africana),9678,9785,Crocuta crocuta,Loxodonta africana,Crocuta crocuta,Loxodonta africana,99.1887,94.7,101.9,27.0,TimeTree API pairwise summaryjson,
Spotted hyena (Crocuta crocuta),Gray wolf (Canis lupus),9678,9612,Crocuta crocuta,Canis lupus,Crocuta crocuta,Canis lupus,55.361635,52.9,57.27,45.0,TimeTree API pairwise summaryjson,
Spotted hyena (Crocuta crocuta),Egyptian fruit bat (Rousettus aegyptiacus),9678,9407,Crocuta crocuta,Rousettus aegyptiacus,Crocuta crocuta,Rousettus aegyptiacus,81.026045,68.4,82.6,18.0,TimeTree API pairwise summaryjson,
Spotted hyena (Crocuta crocuta),Greater sac-winged bat (Saccopteryx bilineata),9678,59482,Crocuta crocuta,Saccopteryx bilineata,Crocuta crocuta,Saccopteryx bilineata,81.026045,68.4,82.6,18.0,TimeTree API pairwise summaryjson,
Spotted hyena (Crocuta crocuta),Bengalese finch (Lonchura striata domestica),9678,299123,Crocuta crocuta,Lonchura striata domestica,Crocuta crocuta,Lonchura striata domestica,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Spotted hyena (Crocuta crocuta),Japanese tit (Parus minor),9678,213890,Crocuta crocuta,Parus minor,Crocuta crocuta,Parus minor,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
